name,slug,origin_city,state,country,formed_year,disbanded_year,status,description,history,website_url,spotify_url,bandcamp_url,instagram_handle,facebook_url,youtube_url,press_contact,notes,source_urls,verification_status,genres,bio
19 Miles Per Hour,19-miles-per-hour,,,USA,,,,,,,,,,,,,,,unverified,,
4.PLAY,4-play,,,USA,,,,,,,,,,,,,,,unverified,,
90s Television,90s-television,,,USA,,,,,,,,,,,,,,,unverified,,
Ablyss,ablyss,,,USA,,,,,,,,,,,,,,,unverified,,
Acacia Ridge,acacia-ridge,,,USA,,,,,,,,,,,,,,,unverified,,
Ace 52,ace-52,,,USA,,,,,,,,,,,,,,,unverified,,
Acid Tiger,acid-tiger,,,USA,,,,,,,,,,,,,,,unverified,,
Admitted Bastard,admitted-bastard,,,USA,,,,,,,,,,,,,,,unverified,,
Advent Horizon,advent-horizon,,,USA,,,,,,,,,,,,,,,unverified,,
After Eden,after-eden,,,USA,,,,,,,,,,,,,,,unverified,,
Air Vent Dweller,air-vent-dweller,,,USA,,,,,,,,,,,,,,,unverified,,
Alchemy,alchemy,,,USA,,,,,,,,,,,,,,,unverified,,
Alicia Stockman,alicia-stockman,,,USA,,,,,,,,,,,,,,,unverified,,
All Systems Fail,all-systems-fail,,,USA,,,,,,,,,,,,,,,unverified,,
Allred,allred,,,USA,,,,,,,,,,,,,,,unverified,,
Alpine Loop,alpine-loop,,,USA,,,,,,,,,,,,,,,unverified,,
Always Her,always-her,,,USA,,,,,,,,,,,,,,,unverified,,
American Humor,american-humor,,,USA,,,,,,,,,,,,,,,unverified,,
Apollo's Army,apollo-s-army,,,USA,,,,,,,,,,,,,,,unverified,,
ATS,ats,,,USA,,,,,,,,,,,,,,,unverified,,
Aurhe,aurhe,,,USA,,,,,,,,,,,,,,,unverified,,
Awakening Autumn,awakening-autumn,,,USA,,,,,,,,,,,,,,,unverified,,
Awol,awol,,,USA,,,,,,,,,,,,,,,unverified,,
